region,population,county.fips.character,county.name,state.name,state.fips.character,state.abb
1001,54590,01001,autauga,alabama,01,AL
1003,183226,01003,baldwin,alabama,01,AL
1005,27469,01005,barbour,alabama,01,AL
1007,22769,01007,bibb,alabama,01,AL
1009,57466,01009,blount,alabama,01,AL
1011,10779,01011,bullock,alabama,01,AL
1013,20730,01013,butler,alabama,01,AL
1015,117834,01015,calhoun,alabama,01,AL
1017,34228,01017,chambers,alabama,01,AL
1019,25917,01019,cherokee,alabama,01,AL
1021,43611,01021,chilton,alabama,01,AL
1023,13838,01023,choctaw,alabama,01,AL
1025,25768,01025,clarke,alabama,01,AL
1027,13828,01027,clay,alabama,01,AL
1029,14905,01029,cleburne,alabama,01,AL
1031,49966,01031,coffee,alabama,01,AL
1033,54451,01033,colbert,alabama,01,AL
1035,13188,01035,conecuh,alabama,01,AL
1037,11305,01037,coosa,alabama,01,AL
1039,37803,01039,covington,alabama,01,AL
1041,13971,01041,crenshaw,alabama,01,AL
1043,80403,01043,cullman,alabama,01,AL
1045,50129,01045,dale,alabama,01,AL
1047,43572,01047,dallas,alabama,01,AL
1049,70949,01049,dekalb,alabama,01,AL
1051,79330,01051,elmore,alabama,01,AL
1053,38122,01053,escambia,alabama,01,AL
1055,104317,01055,etowah,alabama,01,AL
1057,17219,01057,fayette,alabama,01,AL
1059,31664,01059,franklin,alabama,01,AL
1061,26769,01061,geneva,alabama,01,AL
1063,9067,01063,greene,alabama,01,AL
1065,15750,01065,hale,alabama,01,AL
1067,17275,01067,henry,alabama,01,AL
1069,101459,01069,houston,alabama,01,AL
1071,53279,01071,jackson,alabama,01,AL
1073,658464,01073,jefferson,alabama,01,AL
1075,14513,01075,lamar,alabama,01,AL
1077,92528,01077,lauderdale,alabama,01,AL
1079,34148,01079,lawrence,alabama,01,AL
1081,140938,01081,lee,alabama,01,AL
1083,83313,01083,limestone,alabama,01,AL
1085,11304,01085,lowndes,alabama,01,AL
1087,21214,01087,macon,alabama,01,AL
1089,334661,01089,madison,alabama,01,AL
1091,20909,01091,marengo,alabama,01,AL
1093,30641,01093,marion,alabama,01,AL
1095,93070,01095,marshall,alabama,01,AL
1097,412297,01097,mobile,alabama,01,AL
1099,22993,01099,monroe,alabama,01,AL
1101,229376,01101,montgomery,alabama,01,AL
1103,119330,01103,morgan,alabama,01,AL
1105,10525,01105,perry,alabama,01,AL
1107,19646,01107,pickens,alabama,01,AL
1109,32750,01109,pike,alabama,01,AL
1111,22843,01111,randolph,alabama,01,AL
1113,53938,01113,russell,alabama,01,AL
1115,83530,01115,st. clair,alabama,01,AL
1117,195237,01117,shelby,alabama,01,AL
1119,13669,01119,sumter,alabama,01,AL
1121,82194,01121,talladega,alabama,01,AL
1123,41534,01123,tallapoosa,alabama,01,AL
1125,194254,01125,tuscaloosa,alabama,01,AL
1127,67016,01127,walker,alabama,01,AL
1129,17407,01129,washington,alabama,01,AL
1131,11706,01131,wilcox,alabama,01,AL
1133,24432,01133,winston,alabama,01,AL
2013,3114,02013,aleutians east,alaska,02,AK
2016,5507,02016,aleutians west census area,alaska,02,AK
2020,291470,02020,anchorage,alaska,02,AK
